MovieID	IDSubtitleFile	MovieName	MovieYear	SeriesSeason	SubHearingImpaired
2516	146107	The Quick and the Dead	1995	0	0
2521	70606	Punch-Drunk Love	2002	0	0
2524	39197	Anna and the King	1999	0	0
2525	53635	A Life Less Ordinary	1997	0	1
2526	23434	Joy Ride	2001	0	1
2530	49345	Igby Goes Down	2002	0	0
2533	1951680813	Space Cowboys	2000	0	0
2535	109392	Open Water	2003	0	0
2536	43477	Armageddon	1998	0	0
2537	97513	Dirty Dancing: Havana Nights	2004	0	0
2539	110152	Ike: Countdown to D-Day	2004	0	0
2540	63889	Dazed and Confused	1993	0	1
2541	1956349082	The Adventures of Elmo in Grouchland	1999	0	0
2543	115015	Superbabies: Baby Geniuses 2	2004	0	0
2545	85094	Schindler's List	1993	0	1
2546	36715	Lost in Space	1998	0	0
2555	139878	Hellraiser: Hellworld	2005	0	0
2558	40313	Bad Company	2002	0	1
2561	1952768003	Threesome	1994	0	0
2562	1952042623	D.C. Sniper: 23 Days of Fear	2003	0	1
2563	70851	It Runs in the Family	2003	0	0
2566	28567	Win a Date with Tad Hamilton!	2004	0	0
2567	24934	Thir13en Ghosts	2001	0	0
2570	52575	Tuck Everlasting	2002	0	0
2571	96274	Cold Mountain	2003	0	0
2572	66794	Malibu's Most Wanted	2003	0	0
2573	78598	Under the Tuscan Sun	2003	0	1
2575	197358	Crouching Tiger, Hidden Dragon	2000	0	0
2578	124041	Levity	2003	0	0
2580	69594	Men of Honor	2000	0	0
2581	90682	Love Don't Cost a Thing	2003	0	0
2582	180032	The Mating Habits of the Earthbound Human	1999	0	0
2583	145877	Dracula 2000	2000	0	1
2584	1955592001	Permanent Midnight	1998	0	0
2587	274481	Drop Dead Gorgeous	1999	0	0
2588	240361	Matilda	1996	0	0
2589	98976	Confessions of a Teenage Drama Queen	2004	0	0
2590	22708	Can't Hardly Wait	1998	0	0
2591	65615	Deconstructing Harry	1997	0	0
2593	1953805443	The Good Son	1993	0	0
2596	93883	Along Came Polly	2004	0	1
2597	68531	Feardotcom	2002	0	0
2598	95643	Elephant	2003	0	0
2599	104253	Home on the Range	2004	0	1
2601	41800	Rush Hour	1998	0	0
2607	232239	Homeland Security	2004	0	0
2608	1951875509	Pearl Harbor	2001	0	0
2609	87539	Helen of Troy	2003	0	1
2610	91367	Scary Movie 3	2003	0	0
2621	39272	Eight Legged Freaks	2002	0	0
2624	1951671659	Twister	1996	0	0
2625	81003	Shattered Glass	2003	0	0
2626	97273	The Stand	1994	0	0
2629	106889	Raising Helen	2004	0	0
2635	81548	Kiss of the Dragon	2001	0	0
2637	43930	One Hour Photo	2002	0	1
2638	202231	The Blair Witch Project	1999	0	0
2640	1955625556	Fortress 2: Re-Entry	2000	0	0
2642	25363	The Mask of Zorro	1998	0	0
2643	102278	New York Minute	2004	0	0
2651	69540	Mary Reilly	1996	0	0
2652	152430	The Wedding Planner	2001	0	0
2655	20644	Spawn	1997	0	0
2657	175814	Nick of Time	1995	0	0
2659	282655	ECW Guilty as Charged 2001	2001	0	0
2660	1951840669	Romeo Must Die	2000	0	0
2661	1953244155	Crazy in Alabama	1999	0	0
2662	137573	Tom and Jerry Blast Off to Mars!	2005	0	0
2664	25377	Memphis Belle	1990	0	0
2665	98355	Double Team	1997	0	0
2668	20512	A Time to Kill	1996	0	0
2669	1951636064	The Good Shepherd	2006	0	0
2670	184778	Once Upon a Time in Mexico	2003	0	0
